IDAcao,Pilar,NomeAcao,Atividade,MetaFinep,RubricaOrcamentaria,ValorEstimado
a6ed629b,Fortalecer o Empreendedorismo e a Inovação,Divulgar Edital de pré-incubação com universitários,,Meta 3: Divulgação Estratégica Universitária,,
5cb35f25,Promover a Inovação Aberta  - Publico e Privado,Estruturar programas de inovação corporativa/aberta,,Meta 5: Inovação Aberta,,
646b5ea2,Viabilizar formação de Talentos,"Curso de Desenvolvedores, parceria com o Instituto Sismetro",,,,
b469d266,Fomentar Cultura e Inovação,Sensibilização sobre intraempreendedorismo com a prefeitura (Como fazer Inovação no Setor Público),,"Meta 7: Inovação no Setor Público , Meta 9: Sensibilização e Engajamento",,
1edd897d,Fomentar Cultura e Inovação,Promover Hackatons/Ideathons em Marechal,,Meta 9: Sensibilização e Engajamento,,
e00589f9,Promover a Inovação Aberta  - Publico e Privado,Mapear possibilidades de empresas âncoras para sensibilização para ações de inovação.,,Meta 5: Inovação Aberta,,
0a2573e1,Promover a Inovação Aberta  - Publico e Privado,Estruturar programa de inovação para desafios públicos (CPSI).,,Meta 7: Inovação no Setor Público,,
d6d6e7bd,Conectar e fortalecer o ecossistema de inovação,"Mapear os labmakers e laboratórios dos acordos fechados, e negociar o modelo de parceria.",,Meta 10: Prospecção de Parceiros,,
4b9bc48d,Fomentar Cultura e Inovação,Criar e promover calendário integrado das atividades do CEI  (1º semestre),,"Meta 2: Infraestrutura e Marketing , Meta 3: Divulgação Estratégica Universitária , Meta 6: Promoção de Negócios , Meta 9: Sensibilização e Engajamento",,
f80bfd65,Fomentar Cultura e Inovação,Capacitação para startups incubadas,,Meta 11: Incubação e Aceleração,,
f305d3d2,Conectar e fortalecer o ecossistema de inovação,"Promover conexões dos empresários de MCR com empresas de outras cidades (rodadas de negócios, viagens a eventos, etc).",,Meta 10: Prospecção de Parceiros,,
83c43358,Conectar e fortalecer o ecossistema de inovação,"Finalizar a reforma, adquirir móveis e afins. Evento de Inauguração.",,Meta 2: Infraestrutura e Marketing,,
0dd45c69,Conectar e fortalecer o ecossistema de inovação,Estruturar portfólio/vitrine das empresas associadas.,,Meta 10: Prospecção de Parceiros,,
492d523b,Administrativo e Ações Gerais,Fazer Tombamento do BP's,,Meta 2: Infraestrutura e Marketing,,
ea7f15cb,Promover a Inovação Aberta  - Publico e Privado,Projeto CPSI com o Município de Toledo,,Meta 7: Inovação no Setor Público,Serviço de Consultoria (SEBRAE),60000
