IDSubatividade,IDAtividade,OrdemSub,Subatividade,Descricao,DataInicio,DataFim,Responsavel,Status,Observacao,LinkEvidencia,IndicadorFisico
210b467c,43af7da9,1,Contato com o Senac para propor essa atividade.,"Conversar com a Osnei, gerente.",22/06/2026,26/06/2026,Arion,Realizado,Agendar para pós férias,,
0c54507b,43af7da9,2,Agendar com o Senac e programar na agenda,,01/06/2026,30/06/2026,Arion,Pendente,,,
39c58660,43af7da9,3,Imprimir as Listas de Prospecção,,01/06/2026,30/06/2026,Arion,Pendente,,,
a9edbf93,43af7da9,4,Realizar o Pitch do Edital e coletar evidência,,01/03/2026,01/06/2026,Arion,Pendente,,,
4b6cb9e6,e64451e8,1,Contato com o Isepe para propor essa atividade.,"Conversar com a Kelin, Diretora Comercial",01/06/2026,16/06/2026,Arion,Pendente,"Estão em semana de provas, só será possível fazer pós férias.",,
5f19776c,e64451e8,2,Agendar com o Isepe e programar na agenda,,10/06/2026,30/06/2026,,Pendente,,,
0427bd3a,e64451e8,3,Imprimir as Listas de Prospecção,,01/06/2026,30/06/2026,"Arion , Eduardo",Pendente,,,
8028efa8,e64451e8,4,Realizar o Pitch do Edital e coletar evidência,,01/06/2026,30/06/2026,Arion,Pendente,,,
2d8cf63a,e64451e8,5,Alimentar planilha de prospecção com os contatos captados,,01/06/2026,30/06/2026,"Arion , Eduardo",Pendente,,,
ef8561f6,6ec242b2,1,Contato com a PUC para propor essa atividade.,,01/06/2026,30/06/2026,Arion,Pendente,,,
256ba60a,6ec242b2,2,Agendar com a PUC e programar na agenda,,01/06/2026,30/06/2026,Arion,Pendente,,,
c8adf31e,6ec242b2,3,Imprimir as Listas de Prospecção,Passar em cada sala uma lista contendo: Nome | Curso| Telefone | E-mail,01/06/2026,30/06/2026,Arion,Pendente,,,
f9b2a359,6ec242b2,4,Realizar o Pitch do Edital e coletar evidência,Tirar foto e passar a lista em todas as salas.,01/06/2026,30/06/2026,Arion,Pendente,,,
eb546824,6ec242b2,5,Alimentar planilha de prospecção com os contatos captados,,01/06/2026,30/06/2026,Arion,Pendente,,,
8dcbe4f2,16a063d0,1,Contato com a Unioste para propor essa atividade.,,01/06/2026,30/06/2026,Arion,Pendente,,,
98691f41,16a063d0,2,Agendar com a Unioeste e programar na agenda,,01/06/2026,30/06/2026,Arion,Pendente,,,
f1657bf9,16a063d0,3,Imprimir as Listas de Prospecção,Passar em cada sala uma lista contendo: Nome | Curso| Telefone | E-mail,01/06/2026,30/06/2025,Arion,Pendente,,,
f29a59cf,16a063d0,4,Realizar o Pitch do Edital e coletar evidência,Tirar foto e passar a lista em todas as salas.,01/06/2026,30/06/2026,Arion,Pendente,,,
37339f0c,16a063d0,5,Alimentar planilha de prospecção com os contatos captados,,01/06/2026,30/06/2026,Arion,Pendente,,,
cc560a70,43af7da9,5,Alimentar planilha de prospecção com os contatos captados,,01/06/2026,30/06/2026,Arion,Pendente,,,
7faffee2,c3ee222f,1,Enviar contraproposta para o Sebrae,Enviar mensagem para a Angélica.,23/06/2026,24/06/2026,Arion,Realizado,Aguardando retorno do Sebrae.,,
4275c6ff,c3ee222f,2,Aguardar retorno do Sebrae,Proposta Aceita,24/06/2026,26/06/2026,Arion,Realizado,,,
1f1f1666,3061d83c,1,Começar a organização do Evento,Alinhamento com o Sebrae,10/07/2026,13/07/2026,,Em andamento,Agenda Marcada para Sexta-feira dia 10/07,,
